sku,spu,name,category,color,size,price
SKU40849,SPU000,牛仔裤夏季款,女装,蓝色,L,273.21
SKU49978,SPU000,牛仔裤夏季款,鞋靴,白色,L,275.88
SKU75248,SPU000,牛仔裤夏季款,男装,蓝色,XS,275.51
SKU28901,SPU000,牛仔裤夏季款,男装,灰色,XS,268.53
SKU42656,SPU000,牛仔裤夏季款,配饰,黑色,XS,281.23
SKU78797,SPU001,运动鞋经典款,鞋靴,白色,XL,244.61
SKU95860,SPU001,运动鞋经典款,女装,粉色,XL,246.88
SKU84560,SPU001,运动鞋经典款,男装,白色,L,250.75
SKU56820,SPU001,运动鞋经典款,女装,蓝色,XS,236.48
SKU85589,SPU002,半身裙夏季款,女装,蓝色,L,277.73
SKU95776,SPU002,半身裙夏季款,女装,红色,XL,262.53
SKU75480,SPU002,半身裙夏季款,男装,黑色,XS,272.97
SKU57375,SPU002,半身裙夏季款,男装,米色,M,274.93
SKU20483,SPU003,T恤夏季款,鞋靴,白色,L,273.28
SKU36118,SPU003,T恤夏季款,鞋靴,米色,XL,262.41
SKU22790,SPU003,T恤夏季款,配饰,米色,XS,262.25
SKU88011,SPU003,T恤夏季款,女装,灰色,M,277.04
SKU82557,SPU004,半身裙经典款,鞋靴,粉色,L,228.57
SKU29752,SPU004,半身裙经典款,男装,红色,XL,227.35
SKU48075,SPU004,半身裙经典款,女装,蓝色,M,224.96
SKU94998,SPU005,高跟鞋春季款,配饰,米色,S,492.4
SKU87822,SPU005,高跟鞋春季款,配饰,粉色,S,503.95
SKU84795,SPU005,高跟鞋春季款,鞋靴,蓝色,S,472.66
SKU86202,SPU006,针织连衣裙秋冬款,鞋靴,白色,XL,210.09
SKU70292,SPU006,针织连衣裙秋冬款,女装,粉色,M,207.62
SKU61295,SPU006,针织连衣裙秋冬款,配饰,黑色,L,205.99
SKU50274,SPU006,针织连衣裙秋冬款,男装,黑色,XS,201.47
SKU94687,SPU007,T恤秋冬款,鞋靴,米色,L,427.35
SKU38367,SPU007,T恤秋冬款,配饰,灰色,XL,410.71
SKU42432,SPU007,T恤秋冬款,男装,米色,XL,418.68
SKU85179,SPU007,T恤秋冬款,女装,白色,S,415.96
SKU82981,SPU008,羽绒服夏季款,配饰,黑色,M,82.79
SKU65573,SPU008,羽绒服夏季款,配饰,白色,M,82.66
SKU72098,SPU008,羽绒服夏季款,男装,灰色,L,78.75
SKU98875,SPU009,半身裙春季款,女装,黑色,S,124.93
SKU84516,SPU009,半身裙春季款,男装,粉色,XS,122.52
SKU14467,SPU009,半身裙春季款,配饰,灰色,S,125.64
SKU85368,SPU009,半身裙春季款,男装,灰色,M,120.93
SKU55303,SPU010,牛仔裤经典款,鞋靴,灰色,S,242.85
SKU46905,SPU010,牛仔裤经典款,女装,灰色,S,241.68
SKU58100,SPU010,牛仔裤经典款,配饰,白色,M,230.68
SKU16170,SPU010,牛仔裤经典款,男装,灰色,XS,233.39
SKU57342,SPU010,牛仔裤经典款,鞋靴,黑色,S,245.83
SKU78030,SPU011,休闲衬衫经典款,男装,黑色,M,346.41
SKU30493,SPU011,休闲衬衫经典款,配饰,蓝色,XL,339.03
SKU10454,SPU011,休闲衬衫经典款,男装,黑色,L,341.39
SKU50944,SPU011,休闲衬衫经典款,女装,米色,M,349.39
SKU54185,SPU012,牛仔裤秋冬款,男装,蓝色,S,431.93
SKU38136,SPU012,牛仔裤秋冬款,配饰,红色,S,406.38
SKU67821,SPU012,牛仔裤秋冬款,女装,灰色,L,408.92
SKU56191,SPU013,针织连衣裙秋冬款,女装,黑色,XS,304.36
SKU44665,SPU013,针织连衣裙秋冬款,鞋靴,米色,S,288.85
SKU91979,SPU013,针织连衣裙秋冬款,女装,黑色,XL,295.45
SKU12532,SPU013,针织连衣裙秋冬款,女装,灰色,XS,294.55
SKU84450,SPU013,针织连衣裙秋冬款,男装,粉色,XS,287.21
SKU16741,SPU014,半身裙经典款,鞋靴,粉色,S,465.37
SKU24804,SPU014,半身裙经典款,男装,蓝色,XL,487.01
SKU46234,SPU014,半身裙经典款,女装,灰色,M,474.88
SKU17384,SPU014,半身裙经典款,配饰,红色,S,465.81
SKU65239,SPU014,半身裙经典款,鞋靴,白色,S,476.78
SKU32018,SPU015,半身裙经典款,女装,灰色,XL,224.33
SKU19488,SPU015,半身裙经典款,女装,米色,XS,232.15
SKU53380,SPU015,半身裙经典款,鞋靴,黑色,S,226.69
SKU32993,SPU015,半身裙经典款,鞋靴,红色,L,235.19
SKU80787,SPU016,羽绒服春季款,男装,红色,XL,531.99
SKU68061,SPU016,羽绒服春季款,配饰,白色,M,536.39
SKU95031,SPU016,羽绒服春季款,配饰,黑色,XS,541.85
SKU22593,SPU016,羽绒服春季款,配饰,蓝色,M,547.06
SKU76768,SPU017,T恤春季款,男装,粉色,S,643.36
SKU69527,SPU017,T恤春季款,男装,黑色,L,649.74
SKU80189,SPU017,T恤春季款,配饰,蓝色,XS,654.58
SKU89810,SPU018,T恤夏季款,男装,红色,M,529.67
SKU12243,SPU018,T恤夏季款,男装,红色,XL,552.19
SKU73601,SPU018,T恤夏季款,配饰,蓝色,M,549.55
SKU51941,SPU018,T恤夏季款,鞋靴,红色,L,529.92
SKU48700,SPU018,T恤夏季款,女装,蓝色,M,536.08
SKU85272,SPU019,针织连衣裙夏季款,男装,红色,M,377.13
SKU37599,SPU019,针织连衣裙夏季款,鞋靴,米色,XL,377.08
SKU63780,SPU019,针织连衣裙夏季款,配饰,米色,M,390.28
SKU55666,SPU019,针织连衣裙夏季款,鞋靴,白色,S,386.35
SKU66694,SPU019,针织连衣裙夏季款,鞋靴,红色,M,373.62
SKU63646,SPU020,高跟鞋经典款,女装,黑色,XL,259.05
SKU75626,SPU020,高跟鞋经典款,鞋靴,米色,M,265.4
SKU71391,SPU020,高跟鞋经典款,配饰,白色,M,259.48
SKU14831,SPU020,高跟鞋经典款,配饰,米色,XS,266.16
SKU91267,SPU021,T恤经典款,男装,粉色,M,132.11
SKU72283,SPU021,T恤经典款,鞋靴,灰色,M,136.22
SKU82134,SPU021,T恤经典款,男装,黑色,M,132.59
SKU83962,SPU022,羽绒服经典款,配饰,米色,L,434.25
SKU36355,SPU022,羽绒服经典款,男装,米色,XL,431.88
SKU23213,SPU022,羽绒服经典款,女装,灰色,M,428.08
SKU21055,SPU022,羽绒服经典款,男装,黑色,S,423.42
SKU39056,SPU022,羽绒服经典款,女装,白色,L,431.08
SKU22340,SPU023,羽绒服春季款,男装,米色,XL,343.52
SKU74517,SPU023,羽绒服春季款,鞋靴,黑色,M,338.38
SKU23367,SPU023,羽绒服春季款,鞋靴,米色,M,341.42
SKU14736,SPU024,羽绒服春季款,配饰,灰色,S,230.48
SKU47240,SPU024,羽绒服春季款,女装,红色,M,236.3
SKU85685,SPU024,羽绒服春季款,男装,米色,XS,232.93
SKU70163,SPU024,羽绒服春季款,女装,黑色,L,227.86
SKU59849,SPU024,羽绒服春季款,女装,红色,L,224.94
SKU67229,SPU025,西装外套经典款,女装,蓝色,XL,531.12
SKU88133,SPU025,西装外套经典款,女装,米色,M,535.95
SKU39763,SPU025,西装外套经典款,配饰,红色,M,507.59
SKU68440,SPU025,西装外套经典款,鞋靴,蓝色,XS,526.23
SKU29290,SPU025,西装外套经典款,配饰,黑色,S,534.41
SKU17207,SPU026,T恤秋冬款,男装,红色,S,148.63
SKU91634,SPU026,T恤秋冬款,配饰,粉色,S,150.41
SKU28489,SPU026,T恤秋冬款,男装,蓝色,M,147.84
SKU13845,SPU027,T恤经典款,鞋靴,黑色,XS,375.97
SKU66328,SPU027,T恤经典款,配饰,粉色,S,381.06
SKU87028,SPU027,T恤经典款,男装,灰色,M,369.74
SKU49061,SPU028,高跟鞋秋冬款,女装,蓝色,XL,507.04
SKU87732,SPU028,高跟鞋秋冬款,男装,红色,L,504.5
SKU48700,SPU028,高跟鞋秋冬款,女装,米色,S,495.66
SKU27466,SPU028,高跟鞋秋冬款,女装,粉色,XS,492.79
SKU71295,SPU028,高跟鞋秋冬款,配饰,黑色,XL,490.71
SKU70427,SPU029,卫衣春季款,男装,灰色,S,145.73
SKU38090,SPU029,卫衣春季款,配饰,蓝色,L,149.31
SKU26020,SPU029,卫衣春季款,男装,粉色,XS,144.0
SKU40954,SPU030,卫衣经典款,女装,灰色,S,248.14
SKU82002,SPU030,卫衣经典款,男装,白色,XS,248.07
SKU26080,SPU030,卫衣经典款,鞋靴,灰色,XL,239.31
SKU56475,SPU030,卫衣经典款,男装,红色,XL,243.21
SKU83047,SPU030,卫衣经典款,配饰,蓝色,XS,249.41
SKU14357,SPU031,运动鞋秋冬款,鞋靴,蓝色,XS,439.98
SKU36743,SPU031,运动鞋秋冬款,配饰,黑色,L,438.73
SKU61247,SPU031,运动鞋秋冬款,配饰,黑色,XS,434.45
SKU23286,SPU031,运动鞋秋冬款,女装,米色,L,439.39
SKU36293,SPU031,运动鞋秋冬款,男装,红色,S,428.64
SKU62286,SPU032,西装外套春季款,鞋靴,红色,S,386.25
SKU14729,SPU032,西装外套春季款,男装,米色,M,392.41
SKU72417,SPU032,西装外套春季款,女装,蓝色,S,397.09
SKU58839,SPU033,羽绒服经典款,鞋靴,蓝色,M,628.44
SKU20111,SPU033,羽绒服经典款,鞋靴,白色,XS,622.1
SKU58504,SPU033,羽绒服经典款,鞋靴,黑色,XS,597.19
SKU56336,SPU034,高跟鞋春季款,鞋靴,黑色,S,679.47
SKU47896,SPU034,高跟鞋春季款,配饰,白色,XS,651.68
SKU47715,SPU034,高跟鞋春季款,男装,黑色,XS,663.5
SKU26174,SPU035,休闲衬衫夏季款,配饰,灰色,M,532.27
SKU79968,SPU035,休闲衬衫夏季款,男装,灰色,XL,550.6
SKU94524,SPU035,休闲衬衫夏季款,配饰,红色,XS,547.44
SKU95458,SPU035,休闲衬衫夏季款,男装,蓝色,L,533.03
SKU33428,SPU036,羽绒服秋冬款,配饰,红色,M,264.49
SKU56475,SPU036,羽绒服秋冬款,男装,粉色,S,259.53
SKU59495,SPU036,羽绒服秋冬款,女装,米色,M,251.99
SKU29544,SPU036,羽绒服秋冬款,男装,米色,L,250.84
SKU13236,SPU037,休闲衬衫秋冬款,男装,蓝色,M,125.1
SKU98638,SPU037,休闲衬衫秋冬款,男装,蓝色,XS,124.85
SKU90625,SPU037,休闲衬衫秋冬款,女装,黑色,L,127.58
SKU36449,SPU037,休闲衬衫秋冬款,女装,粉色,M,120.21
SKU98449,SPU037,休闲衬衫秋冬款,女装,红色,XL,124.09
SKU65590,SPU038,羽绒服经典款,男装,红色,S,212.08
SKU69002,SPU038,羽绒服经典款,男装,灰色,XL,213.73
SKU60000,SPU038,羽绒服经典款,女装,米色,M,215.13
SKU89418,SPU038,羽绒服经典款,鞋靴,灰色,L,210.64
SKU48866,SPU038,羽绒服经典款,配饰,白色,XL,216.63
SKU66572,SPU039,休闲衬衫秋冬款,男装,粉色,L,293.85
SKU25434,SPU039,休闲衬衫秋冬款,配饰,粉色,M,280.76
SKU61692,SPU039,休闲衬衫秋冬款,鞋靴,蓝色,L,284.43
SKU17792,SPU039,休闲衬衫秋冬款,女装,粉色,M,280.61
SKU59094,SPU040,羽绒服夏季款,女装,黑色,L,415.22
SKU87679,SPU040,羽绒服夏季款,配饰,白色,S,427.48
SKU68715,SPU040,羽绒服夏季款,配饰,红色,S,427.36
SKU11409,SPU040,羽绒服夏季款,鞋靴,黑色,XL,429.63
SKU83210,SPU040,羽绒服夏季款,女装,灰色,M,432.11
SKU90717,SPU041,T恤夏季款,男装,米色,XS,272.38
SKU74651,SPU041,T恤夏季款,鞋靴,蓝色,XL,271.39
SKU90758,SPU041,T恤夏季款,鞋靴,黑色,XS,272.29
SKU81156,SPU041,T恤夏季款,鞋靴,黑色,XS,279.75
SKU36207,SPU041,T恤夏季款,鞋靴,米色,S,276.88
SKU45677,SPU042,羽绒服经典款,配饰,灰色,S,509.97
SKU97912,SPU042,羽绒服经典款,鞋靴,粉色,M,490.87
SKU28662,SPU042,羽绒服经典款,鞋靴,粉色,XS,502.16
SKU39009,SPU042,羽绒服经典款,配饰,红色,L,503.41
SKU74820,SPU042,羽绒服经典款,鞋靴,米色,L,515.31
SKU99935,SPU043,T恤夏季款,男装,红色,XS,98.09
SKU27856,SPU043,T恤夏季款,配饰,蓝色,XS,98.75
SKU21990,SPU043,T恤夏季款,女装,黑色,M,94.66
SKU92769,SPU044,卫衣经典款,鞋靴,米色,XL,449.66
SKU28664,SPU044,卫衣经典款,配饰,粉色,XS,440.77
SKU22536,SPU044,卫衣经典款,男装,米色,XS,459.12
SKU61533,SPU045,牛仔裤夏季款,配饰,黑色,XS,557.11
SKU95848,SPU045,牛仔裤夏季款,鞋靴,白色,L,526.98
SKU87421,SPU045,牛仔裤夏季款,女装,黑色,M,533.51
SKU32164,SPU045,牛仔裤夏季款,女装,粉色,L,557.66
SKU60706,SPU046,运动鞋夏季款,配饰,米色,M,225.7
SKU44776,SPU046,运动鞋夏季款,配饰,黑色,S,229.29
SKU37582,SPU046,运动鞋夏季款,男装,红色,L,228.87
SKU60402,SPU047,休闲衬衫经典款,女装,白色,XS,538.5
SKU65842,SPU047,休闲衬衫经典款,鞋靴,蓝色,XL,537.51
SKU72991,SPU047,休闲衬衫经典款,女装,灰色,XS,537.76
SKU32039,SPU047,休闲衬衫经典款,女装,蓝色,S,528.19
SKU40539,SPU047,休闲衬衫经典款,鞋靴,灰色,L,550.63
SKU37471,SPU048,牛仔裤夏季款,女装,黑色,XS,158.14
SKU76793,SPU048,牛仔裤夏季款,鞋靴,灰色,S,153.61
SKU68883,SPU048,牛仔裤夏季款,男装,蓝色,M,158.96
SKU40733,SPU048,牛仔裤夏季款,女装,红色,S,152.8
SKU67721,SPU048,牛仔裤夏季款,鞋靴,黑色,S,158.35
SKU30226,SPU049,针织连衣裙夏季款,鞋靴,红色,XS,179.16
SKU73765,SPU049,针织连衣裙夏季款,女装,粉色,L,183.37
SKU14385,SPU049,针织连衣裙夏季款,女装,灰色,M,183.34
SKU34288,SPU050,牛仔裤秋冬款,男装,粉色,L,674.99
SKU63365,SPU050,牛仔裤秋冬款,男装,白色,L,657.58
SKU97297,SPU050,牛仔裤秋冬款,女装,粉色,XS,682.49
SKU26655,SPU050,牛仔裤秋冬款,鞋靴,粉色,S,671.7
SKU73720,SPU051,高跟鞋夏季款,鞋靴,米色,S,586.86
SKU21882,SPU051,高跟鞋夏季款,配饰,粉色,M,605.17
SKU44904,SPU051,高跟鞋夏季款,鞋靴,红色,M,601.8
SKU72220,SPU051,高跟鞋夏季款,鞋靴,蓝色,L,580.52
SKU29345,SPU051,高跟鞋夏季款,鞋靴,黑色,M,570.84
SKU15660,SPU052,羽绒服春季款,配饰,灰色,M,492.7
SKU62366,SPU052,羽绒服春季款,男装,灰色,M,487.41
SKU25300,SPU052,羽绒服春季款,鞋靴,蓝色,L,482.14
SKU79156,SPU052,羽绒服春季款,女装,黑色,XS,484.29
SKU22873,SPU053,T恤秋冬款,女装,粉色,M,183.16
SKU25322,SPU053,T恤秋冬款,男装,米色,XL,196.13
SKU32957,SPU053,T恤秋冬款,女装,黑色,M,195.76
SKU14316,SPU053,T恤秋冬款,女装,粉色,L,186.44
SKU21581,SPU054,休闲衬衫秋冬款,配饰,米色,XL,348.2
SKU90737,SPU054,休闲衬衫秋冬款,女装,白色,XS,369.62
SKU17859,SPU054,休闲衬衫秋冬款,鞋靴,蓝色,L,365.42
SKU83239,SPU054,休闲衬衫秋冬款,配饰,黑色,XS,365.04
SKU62856,SPU054,休闲衬衫秋冬款,配饰,白色,XL,366.36
SKU46733,SPU055,高跟鞋秋冬款,男装,灰色,XL,436.16
SKU59532,SPU055,高跟鞋秋冬款,男装,米色,S,451.94
SKU36772,SPU055,高跟鞋秋冬款,男装,米色,XL,453.42
SKU65207,SPU055,高跟鞋秋冬款,鞋靴,白色,M,425.98
SKU55913,SPU055,高跟鞋秋冬款,女装,蓝色,L,430.19
SKU54067,SPU056,休闲衬衫夏季款,女装,蓝色,L,488.69
SKU65077,SPU056,休闲衬衫夏季款,鞋靴,白色,L,509.01
SKU44602,SPU056,休闲衬衫夏季款,鞋靴,红色,XL,481.78
SKU80835,SPU056,休闲衬衫夏季款,配饰,白色,S,487.53
SKU82862,SPU056,休闲衬衫夏季款,女装,白色,M,486.51
SKU35174,SPU057,卫衣经典款,男装,灰色,XS,367.21
SKU81595,SPU057,卫衣经典款,鞋靴,黑色,S,374.99
SKU92588,SPU057,卫衣经典款,男装,粉色,L,382.0
SKU15193,SPU057,卫衣经典款,男装,米色,L,372.85
SKU98742,SPU058,卫衣春季款,女装,粉色,M,337.9
SKU57844,SPU058,卫衣春季款,女装,粉色,M,327.56
SKU68283,SPU058,卫衣春季款,配饰,蓝色,L,339.28
SKU31128,SPU058,卫衣春季款,女装,蓝色,M,331.05
SKU69718,SPU058,卫衣春季款,女装,米色,XL,333.53
SKU19562,SPU059,羽绒服秋冬款,女装,米色,S,312.18
SKU85466,SPU059,羽绒服秋冬款,女装,蓝色,XS,298.37
SKU44930,SPU059,羽绒服秋冬款,男装,白色,S,303.44
SKU41797,SPU059,羽绒服秋冬款,鞋靴,白色,M,308.48
SKU50271,SPU059,羽绒服秋冬款,男装,白色,L,310.48
SKU40989,SPU060,卫衣秋冬款,配饰,蓝色,XL,396.82
SKU76025,SPU060,卫衣秋冬款,女装,白色,XL,405.87
SKU17372,SPU060,卫衣秋冬款,鞋靴,白色,M,388.61
SKU38600,SPU060,卫衣秋冬款,男装,白色,XS,390.22
SKU24988,SPU060,卫衣秋冬款,鞋靴,白色,XS,387.48
SKU68364,SPU061,半身裙春季款,女装,灰色,M,284.7
SKU21393,SPU061,半身裙春季款,鞋靴,粉色,S,285.24
SKU38395,SPU061,半身裙春季款,配饰,红色,XL,281.34
SKU73038,SPU061,半身裙春季款,男装,白色,L,288.78
SKU18811,SPU062,羽绒服经典款,配饰,蓝色,L,398.09
SKU31591,SPU062,羽绒服经典款,配饰,蓝色,L,401.13
SKU63780,SPU062,羽绒服经典款,女装,粉色,S,398.29
SKU35370,SPU062,羽绒服经典款,配饰,红色,L,392.0
SKU78521,SPU062,羽绒服经典款,配饰,白色,M,398.97
SKU35450,SPU063,西装外套秋冬款,配饰,灰色,XL,219.08
SKU31290,SPU063,西装外套秋冬款,配饰,蓝色,L,219.88
SKU38942,SPU063,西装外套秋冬款,女装,红色,L,215.46
SKU93447,SPU063,西装外套秋冬款,男装,红色,XL,225.63
SKU26533,SPU063,西装外套秋冬款,鞋靴,白色,L,225.81
SKU39678,SPU064,针织连衣裙春季款,女装,灰色,XS,325.38
SKU76312,SPU064,针织连衣裙春季款,女装,黑色,S,319.73
SKU47735,SPU064,针织连衣裙春季款,配饰,灰色,XS,326.88
SKU19109,SPU065,卫衣经典款,鞋靴,灰色,S,463.83
SKU16463,SPU065,卫衣经典款,女装,蓝色,XL,456.48
SKU95396,SPU065,卫衣经典款,男装,灰色,XS,465.03
SKU51499,SPU065,卫衣经典款,女装,白色,XS,464.97
SKU57602,SPU066,针织连衣裙秋冬款,女装,白色,L,156.62
SKU81763,SPU066,针织连衣裙秋冬款,女装,白色,XL,161.81
SKU33077,SPU066,针织连衣裙秋冬款,配饰,红色,M,154.49
SKU77333,SPU067,牛仔裤经典款,鞋靴,红色,XL,603.29
SKU63616,SPU067,牛仔裤经典款,女装,黑色,L,603.35
SKU74485,SPU067,牛仔裤经典款,男装,米色,XL,585.38
SKU61966,SPU067,牛仔裤经典款,鞋靴,蓝色,L,584.58
SKU60426,SPU067,牛仔裤经典款,配饰,粉色,S,578.0
SKU55115,SPU068,休闲衬衫夏季款,男装,黑色,M,539.52
SKU45734,SPU068,休闲衬衫夏季款,男装,白色,M,537.15
SKU44688,SPU068,休闲衬衫夏季款,鞋靴,白色,L,570.57
SKU32496,SPU068,休闲衬衫夏季款,鞋靴,红色,XS,544.51
SKU75319,SPU069,半身裙秋冬款,配饰,灰色,L,424.02
SKU21244,SPU069,半身裙秋冬款,女装,红色,L,433.06
SKU66871,SPU069,半身裙秋冬款,男装,白色,M,417.83
SKU95091,SPU069,半身裙秋冬款,女装,米色,M,412.5
SKU15897,SPU069,半身裙秋冬款,鞋靴,蓝色,M,424.53
SKU26413,SPU070,针织连衣裙经典款,鞋靴,米色,M,573.39
SKU85854,SPU070,针织连衣裙经典款,女装,米色,XL,565.87
SKU19257,SPU070,针织连衣裙经典款,配饰,灰色,XS,550.57
SKU93283,SPU070,针织连衣裙经典款,男装,白色,XS,575.07
SKU46994,SPU071,运动鞋春季款,女装,白色,L,189.32
SKU62441,SPU071,运动鞋春季款,配饰,蓝色,XS,192.08
SKU62359,SPU071,运动鞋春季款,女装,灰色,XS,189.85
SKU92970,SPU071,运动鞋春季款,女装,红色,S,186.98
SKU25683,SPU072,运动鞋春季款,男装,灰色,XL,315.36
SKU99144,SPU072,运动鞋春季款,鞋靴,粉色,L,305.23
SKU13310,SPU072,运动鞋春季款,鞋靴,米色,L,310.56
SKU11100,SPU072,运动鞋春季款,鞋靴,米色,XL,307.62
SKU95473,SPU073,高跟鞋夏季款,女装,米色,S,382.93
SKU81755,SPU073,高跟鞋夏季款,女装,黑色,S,400.92
SKU98290,SPU073,高跟鞋夏季款,男装,米色,M,400.38
SKU20072,SPU073,高跟鞋夏季款,男装,灰色,XS,398.4
SKU59004,SPU073,高跟鞋夏季款,男装,白色,L,386.73
SKU86700,SPU074,T恤经典款,鞋靴,黑色,S,134.37
SKU22955,SPU074,T恤经典款,女装,灰色,L,134.83
SKU75135,SPU074,T恤经典款,男装,蓝色,S,128.75
SKU95463,SPU074,T恤经典款,配饰,白色,XL,133.16
SKU59340,SPU075,羽绒服经典款,配饰,粉色,XL,255.84
