spu,title,cost,inventory,profit_margin
SPU000,牛仔裤夏季款,173.67,244,0.48
SPU001,运动鞋经典款,175.38,464,0.29
SPU002,半身裙夏季款,169.52,896,0.49
SPU003,T恤夏季款,195.16,239,0.29
SPU004,半身裙经典款,143.84,566,0.48
SPU005,高跟鞋春季款,361.26,184,0.25
SPU006,针织连衣裙秋冬款,138.79,113,0.37
SPU007,T恤秋冬款,286.82,928,0.35
SPU008,羽绒服夏季款,62.38,809,0.21
SPU009,半身裙春季款,87.79,263,0.3
SPU010,牛仔裤经典款,157.67,519,0.41
SPU011,休闲衬衫经典款,231.68,187,0.41
SPU012,牛仔裤秋冬款,273.76,122,0.43
SPU013,针织连衣裙秋冬款,198.52,953,0.39
SPU014,半身裙经典款,362.44,379,0.21
SPU015,半身裙经典款,165.86,770,0.29
SPU016,羽绒服春季款,356.95,506,0.39
SPU017,T恤春季款,390.67,992,0.56
SPU018,T恤夏季款,361.91,190,0.41
SPU019,针织连衣裙夏季款,233.22,806,0.53
SPU020,高跟鞋经典款,197.89,143,0.24
SPU021,T恤经典款,87.2,156,0.42
SPU022,羽绒服经典款,267.87,294,0.5
SPU023,羽绒服春季款,262.89,399,0.22
SPU024,羽绒服春季款,154.06,529,0.39
SPU025,西装外套经典款,314.7,580,0.56
SPU026,T恤秋冬款,97.85,553,0.39
SPU027,T恤经典款,240.26,279,0.46
SPU028,高跟鞋秋冬款,294.1,629,0.58
SPU029,卫衣春季款,105.46,992,0.28
SPU030,卫衣经典款,154.46,509,0.49
SPU031,运动鞋秋冬款,289.06,482,0.42
SPU032,西装外套春季款,233.24,749,0.56
SPU033,羽绒服经典款,399.0,197,0.44
SPU034,高跟鞋春季款,392.33,746,0.59
SPU035,休闲衬衫夏季款,330.98,998,0.54
SPU036,羽绒服秋冬款,171.85,429,0.4
SPU037,休闲衬衫秋冬款,74.66,729,0.56
SPU038,羽绒服经典款,149.11,499,0.31
SPU039,休闲衬衫秋冬款,184.44,470,0.45
SPU040,羽绒服夏季款,257.84,144,0.56
SPU041,T恤夏季款,169.86,201,0.53
SPU042,羽绒服经典款,305.77,558,0.55
SPU043,T恤夏季款,62.8,142,0.43
SPU044,卫衣经典款,344.47,879,0.21
SPU045,牛仔裤夏季款,343.31,936,0.48
SPU046,运动鞋夏季款,163.75,619,0.26
SPU047,休闲衬衫经典款,356.48,520,0.43
SPU048,牛仔裤夏季款,99.9,619,0.45
SPU049,针织连衣裙夏季款,108.28,912,0.55
SPU050,牛仔裤秋冬款,394.42,577,0.6
SPU051,高跟鞋夏季款,385.78,422,0.42
SPU052,羽绒服春季款,289.26,260,0.56
SPU053,T恤秋冬款,131.76,827,0.34
SPU054,休闲衬衫秋冬款,250.84,819,0.33
SPU055,高跟鞋秋冬款,311.51,817,0.31
SPU056,休闲衬衫夏季款,305.6,262,0.52
SPU057,卫衣经典款,262.82,924,0.32
SPU058,卫衣春季款,209.07,386,0.48
SPU059,羽绒服秋冬款,230.17,577,0.21
SPU060,卫衣秋冬款,235.35,685,0.59
SPU061,半身裙春季款,176.65,525,0.5
SPU062,羽绒服经典款,235.82,175,0.59
SPU063,西装外套秋冬款,159.68,391,0.28
SPU064,针织连衣裙春季款,244.26,445,0.21
SPU065,卫衣经典款,288.79,550,0.5
SPU066,针织连衣裙秋冬款,107.27,764,0.36
SPU067,牛仔裤经典款,389.35,202,0.41
SPU068,休闲衬衫夏季款,367.08,677,0.41
SPU069,半身裙秋冬款,258.02,283,0.53
SPU070,针织连衣裙经典款,367.11,591,0.44
SPU071,运动鞋春季款,131.17,410,0.36
SPU072,运动鞋春季款,223.62,413,0.3
SPU073,高跟鞋夏季款,235.34,843,0.56
SPU074,T恤经典款,95.71,208,0.26
SPU075,羽绒服经典款,200.28,199,0.21
SPU076,牛仔裤夏季款,335.52,723,0.22
SPU077,针织连衣裙秋冬款,236.33,640,0.2
SPU078,休闲衬衫春季款,148.92,681,0.24
SPU079,T恤经典款,170.06,398,0.31
SPU080,半身裙经典款,99.35,904,0.33
SPU081,T恤春季款,126.25,681,0.42
SPU082,T恤春季款,353.3,223,0.39
SPU083,羽绒服春季款,110.08,988,0.55
SPU084,卫衣经典款,288.41,732,0.34
SPU085,运动鞋夏季款,249.55,304,0.41
SPU086,西装外套春季款,98.95,216,0.39
SPU087,运动鞋秋冬款,211.7,923,0.29
SPU088,牛仔裤秋冬款,340.13,150,0.36
SPU089,半身裙春季款,230.49,266,0.48
SPU090,高跟鞋秋冬款,388.26,469,0.4
SPU091,运动鞋夏季款,302.91,782,0.31
SPU092,西装外套春季款,206.71,654,0.27
SPU093,卫衣夏季款,292.4,909,0.51
SPU094,牛仔裤秋冬款,207.81,765,0.53
SPU095,休闲衬衫春季款,388.06,665,0.57
SPU096,针织连衣裙秋冬款,127.24,736,0.32
SPU097,卫衣秋冬款,113.75,760,0.59
SPU098,运动鞋秋冬款,229.49,193,0.32
SPU099,牛仔裤夏季款,233.89,291,0.45
SPU100,羽绒服经典款,373.85,181,0.6
SPU101,针织连衣裙经典款,156.04,386,0.35
SPU102,羽绒服夏季款,199.2,296,0.58
